Inference - Gaussian_SPMCS
save_image: False
border: False
input_path: ../dataset/SPMCS_BlurDown_Gaussian/blurdown_x4
gt_path: ../dataset/SPMCS_BlurDown_Gaussian/sharp
model_path: ../pretrain_models/gaussian_e1r3.pt
result_path: ../infer_results/infer_Gaussian_SPMCS
quick_test: Gaussian_SPMCS
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/gaussian_e1r3.pt
> NYVTG_006-0009 PSNR=28.304, SSIM=0.8359 pre_time:0.0153s, forward_time:0.224s, post_time:0.521s, total_time:0.761s
> NYVTG_006-0010 PSNR=28.405, SSIM=0.8379 pre_time:0.0154s, forward_time:0.219s, post_time:0.515s, total_time:0.749s
> NYVTG_006-0011 PSNR=28.338, SSIM=0.8367 pre_time:0.0154s, forward_time:0.222s, post_time:0.514s, total_time:0.752s
> NYVTG_006-0012 PSNR=28.391, SSIM=0.8378 pre_time:0.0153s, forward_time:0.216s, post_time:0.516s, total_time:0.747s
> NYVTG_006-0013 PSNR=28.331, SSIM=0.8371 pre_time:0.0155s, forward_time:0.224s, post_time:0.515s, total_time:0.754s
> NYVTG_006-0014 PSNR=28.437, SSIM=0.8395 pre_time:0.0154s, forward_time:0.218s, post_time:0.519s, total_time:0.752s
> NYVTG_006-0015 PSNR=28.47, SSIM=0.8399 pre_time:0.0154s, forward_time:0.224s, post_time:0.516s, total_time:0.756s
> NYVTG_006-0016 PSNR=28.355, SSIM=0.8373 pre_time:0.0153s, forward_time:0.217s, post_time:0.518s, total_time:0.75s
> NYVTG_006-0017 PSNR=28.436, SSIM=0.8389 pre_time:0.0153s, forward_time:0.226s, post_time:0.519s, total_time:0.759s
> NYVTG_006-0018 PSNR=28.425, SSIM=0.8389 pre_time:0.0153s, forward_time:0.218s, post_time:0.519s, total_time:0.752s
> NYVTG_006-0019 PSNR=28.372, SSIM=0.8378 pre_time:0.0153s, forward_time:0.221s, post_time:0.518s, total_time:0.755s
> NYVTG_006-0020 PSNR=28.453, SSIM=0.8391 pre_time:0.0153s, forward_time:0.216s, post_time:0.516s, total_time:0.748s
> NYVTG_006-0021 PSNR=28.444, SSIM=0.8393 pre_time:0.0153s, forward_time:0.221s, post_time:0.517s, total_time:0.754s
> NYVTG_006-0022 PSNR=28.345, SSIM=0.8375 pre_time:0.0153s, forward_time:0.219s, post_time:0.514s, total_time:0.748s
> NYVTG_006-0023 PSNR=28.412, SSIM=0.8389 pre_time:0.0153s, forward_time:0.221s, post_time:0.517s, total_time:0.753s
> NYVTG_006-0024 PSNR=28.337, SSIM=0.8375 pre_time:0.0153s, forward_time:0.218s, post_time:0.518s, total_time:0.751s
> NYVTG_006-0025 PSNR=28.365, SSIM=0.8377 pre_time:0.0154s, forward_time:0.223s, post_time:0.519s, total_time:0.757s
> NYVTG_006-0026 PSNR=28.286, SSIM=0.8361 pre_time:0.0154s, forward_time:0.221s, post_time:0.52s, total_time:0.756s
> NYVTG_006-0027 PSNR=28.377, SSIM=0.8379 pre_time:0.0153s, forward_time:0.221s, post_time:0.518s, total_time:0.754s
> NYVTG_006-0028 PSNR=28.306, SSIM=0.8365 pre_time:0.0153s, forward_time:0.221s, post_time:0.519s, total_time:0.755s
> NYVTG_006-0029 PSNR=28.414, SSIM=0.8387 pre_time:0.0154s, forward_time:0.222s, post_time:0.514s, total_time:0.751s
> NYVTG_006-0030 PSNR=28.429, SSIM=0.8389 pre_time:0.0153s, forward_time:0.221s, post_time:0.519s, total_time:0.755s
> NYVTG_006-0031 PSNR=28.328, SSIM=0.8367 pre_time:0.0153s, forward_time:0.222s, post_time:0.513s, total_time:0.751s
> NYVTG_006-0032 PSNR=28.384, SSIM=0.8375 pre_time:0.0153s, forward_time:0.219s, post_time:0.513s, total_time:0.747s
> NYVTG_006-0033 PSNR=28.276, SSIM=0.8353 pre_time:0.0154s, forward_time:0.222s, post_time:0.514s, total_time:0.751s
> PRVTG_008-0003 PSNR=21.243, SSIM=0.5983 pre_time:0.016s, forward_time:0.223s, post_time:0.518s, total_time:0.757s
> PRVTG_008-0004 PSNR=21.406, SSIM=0.6064 pre_time:0.016s, forward_time:0.219s, post_time:0.521s, total_time:0.756s
> PRVTG_008-0005 PSNR=21.489, SSIM=0.6107 pre_time:0.016s, forward_time:0.222s, post_time:0.517s, total_time:0.755s
> PRVTG_008-0006 PSNR=21.434, SSIM=0.6069 pre_time:0.0159s, forward_time:0.223s, post_time:0.513s, total_time:0.752s
> PRVTG_008-0007 PSNR=21.423, SSIM=0.6065 pre_time:0.016s, forward_time:0.22s, post_time:0.518s, total_time:0.754s
> PRVTG_008-0008 PSNR=21.448, SSIM=0.6075 pre_time:0.016s, forward_time:0.224s, post_time:0.514s, total_time:0.754s
> PRVTG_008-0009 PSNR=21.593, SSIM=0.6122 pre_time:0.0163s, forward_time:0.218s, post_time:0.517s, total_time:0.751s
> PRVTG_008-0010 PSNR=21.69, SSIM=0.6174 pre_time:0.0159s, forward_time:0.225s, post_time:0.514s, total_time:0.754s
> PRVTG_008-0011 PSNR=21.64, SSIM=0.619 pre_time:0.016s, forward_time:0.22s, post_time:0.515s, total_time:0.752s
> PRVTG_008-0012 PSNR=21.619, SSIM=0.6163 pre_time:0.016s, forward_time:0.225s, post_time:0.517s, total_time:0.758s
> PRVTG_008-0013 PSNR=21.664, SSIM=0.6163 pre_time:0.0159s, forward_time:0.22s, post_time:0.516s, total_time:0.753s
> PRVTG_008-0014 PSNR=21.623, SSIM=0.6157 pre_time:0.016s, forward_time:0.22s, post_time:0.514s, total_time:0.75s
> PRVTG_008-0015 PSNR=21.703, SSIM=0.6172 pre_time:0.0161s, forward_time:0.222s, post_time:0.52s, total_time:0.758s
> PRVTG_008-0016 PSNR=21.725, SSIM=0.6189 pre_time:0.016s, forward_time:0.22s, post_time:0.515s, total_time:0.751s
> PRVTG_008-0017 PSNR=21.735, SSIM=0.6209 pre_time:0.0162s, forward_time:0.223s, post_time:0.519s, total_time:0.757s
> PRVTG_008-0018 PSNR=21.772, SSIM=0.6213 pre_time:0.016s, forward_time:0.219s, post_time:0.516s, total_time:0.752s
> PRVTG_008-0019 PSNR=21.746, SSIM=0.62 pre_time:0.016s, forward_time:0.224s, post_time:0.518s, total_time:0.758s
> PRVTG_008-0020 PSNR=21.741, SSIM=0.6204 pre_time:0.0161s, forward_time:0.223s, post_time:0.516s, total_time:0.754s
> PRVTG_008-0021 PSNR=21.826, SSIM=0.6224 pre_time:0.0161s, forward_time:0.218s, post_time:0.514s, total_time:0.748s
> PRVTG_008-0022 PSNR=21.801, SSIM=0.6222 pre_time:0.016s, forward_time:0.225s, post_time:0.519s, total_time:0.76s
> PRVTG_008-0023 PSNR=21.846, SSIM=0.6248 pre_time:0.0161s, forward_time:0.218s, post_time:0.517s, total_time:0.751s
> PRVTG_008-0024 PSNR=21.948, SSIM=0.6279 pre_time:0.016s, forward_time:0.224s, post_time:0.515s, total_time:0.755s
> PRVTG_008-0025 PSNR=21.934, SSIM=0.6259 pre_time:0.016s, forward_time:0.216s, post_time:0.519s, total_time:0.751s
> PRVTG_008-0026 PSNR=21.798, SSIM=0.6193 pre_time:0.016s, forward_time:0.225s, post_time:0.521s, total_time:0.762s
> PRVTG_008-0027 PSNR=21.837, SSIM=0.6201 pre_time:0.016s, forward_time:0.22s, post_time:0.52s, total_time:0.756s
> PRVTG_008-0028 PSNR=21.877, SSIM=0.6212 pre_time:0.0159s, forward_time:0.222s, post_time:0.517s, total_time:0.755s
> PRVTG_008-0029 PSNR=21.929, SSIM=0.6247 pre_time:0.016s, forward_time:0.217s, post_time:0.516s, total_time:0.749s
> PRVTG_012-0003 PSNR=24.492, SSIM=0.7275 pre_time:0.0147s, forward_time:0.224s, post_time:0.516s, total_time:0.755s
> PRVTG_012-0004 PSNR=24.616, SSIM=0.7295 pre_time:0.0147s, forward_time:0.219s, post_time:0.52s, total_time:0.754s
> PRVTG_012-0005 PSNR=24.671, SSIM=0.7297 pre_time:0.0147s, forward_time:0.224s, post_time:0.517s, total_time:0.756s
> PRVTG_012-0006 PSNR=24.651, SSIM=0.7295 pre_time:0.0148s, forward_time:0.216s, post_time:0.519s, total_time:0.75s
> PRVTG_012-0007 PSNR=24.697, SSIM=0.7322 pre_time:0.0146s, forward_time:0.226s, post_time:0.52s, total_time:0.76s
> PRVTG_012-0008 PSNR=24.714, SSIM=0.7323 pre_time:0.0154s, forward_time:0.217s, post_time:0.516s, total_time:0.748s
> PRVTG_012-0009 PSNR=24.73, SSIM=0.7328 pre_time:0.0148s, forward_time:0.226s, post_time:0.52s, total_time:0.761s
> PRVTG_012-0010 PSNR=24.714, SSIM=0.7318 pre_time:0.0146s, forward_time:0.216s, post_time:0.516s, total_time:0.747s
> PRVTG_012-0011 PSNR=24.727, SSIM=0.7322 pre_time:0.0146s, forward_time:0.224s, post_time:0.523s, total_time:0.761s
> PRVTG_012-0012 PSNR=24.699, SSIM=0.7312 pre_time:0.0146s, forward_time:0.218s, post_time:0.514s, total_time:0.747s
> PRVTG_012-0013 PSNR=24.705, SSIM=0.731 pre_time:0.0146s, forward_time:0.221s, post_time:0.517s, total_time:0.752s
> PRVTG_012-0014 PSNR=24.709, SSIM=0.7312 pre_time:0.0148s, forward_time:0.216s, post_time:0.514s, total_time:0.745s
> PRVTG_012-0015 PSNR=24.769, SSIM=0.7339 pre_time:0.0146s, forward_time:0.223s, post_time:0.515s, total_time:0.753s
> PRVTG_012-0016 PSNR=24.757, SSIM=0.7345 pre_time:0.0147s, forward_time:0.218s, post_time:0.517s, total_time:0.749s
> PRVTG_012-0017 PSNR=24.74, SSIM=0.7315 pre_time:0.0146s, forward_time:0.226s, post_time:0.519s, total_time:0.759s
> PRVTG_012-0018 PSNR=24.686, SSIM=0.7294 pre_time:0.015s, forward_time:0.217s, post_time:0.518s, total_time:0.75s
> PRVTG_012-0019 PSNR=24.816, SSIM=0.7347 pre_time:0.0146s, forward_time:0.225s, post_time:0.519s, total_time:0.759s
> PRVTG_012-0020 PSNR=24.813, SSIM=0.7354 pre_time:0.0146s, forward_time:0.22s, post_time:0.513s, total_time:0.748s
> PRVTG_012-0021 PSNR=24.817, SSIM=0.7365 pre_time:0.0147s, forward_time:0.22s, post_time:0.518s, total_time:0.752s
> PRVTG_012-0022 PSNR=24.84, SSIM=0.736 pre_time:0.015s, forward_time:0.219s, post_time:0.518s, total_time:0.752s
> PRVTG_012-0023 PSNR=24.884, SSIM=0.7397 pre_time:0.0147s, forward_time:0.22s, post_time:0.517s, total_time:0.751s
> PRVTG_012-0024 PSNR=24.813, SSIM=0.7372 pre_time:0.0147s, forward_time:0.222s, post_time:0.513s, total_time:0.75s
> PRVTG_012-0025 PSNR=24.76, SSIM=0.7331 pre_time:0.0147s, forward_time:0.22s, post_time:0.513s, total_time:0.747s
> PRVTG_012-0026 PSNR=24.794, SSIM=0.7354 pre_time:0.015s, forward_time:0.222s, post_time:0.519s, total_time:0.755s
