Inference - Gaussian_REDS4
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_Gaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_Gaussian/sharp
model_path: ../pretrain_models/gaussian_e1r3.pt
result_path: ../infer_results/infer_Gaussian_REDS4
quick_test: Gaussian_REDS4
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/gaussian_e1r3.pt
> 000-00000094 PSNR=26.519, SSIM=0.7785 pre_time:0.0272s, forward_time:0.46s, post_time:0.871s, total_time:1.36s
> 000-00000095 PSNR=26.547, SSIM=0.7797 pre_time:0.0274s, forward_time:0.461s, post_time:0.871s, total_time:1.36s
> 000-00000096 PSNR=26.74, SSIM=0.7882 pre_time:0.0264s, forward_time:0.465s, post_time:0.869s, total_time:1.36s
> 000-00000097 PSNR=26.905, SSIM=0.7932 pre_time:0.0266s, forward_time:0.472s, post_time:0.864s, total_time:1.36s
> 011-00000002 PSNR=29.495, SSIM=0.8207 pre_time:0.0262s, forward_time:0.465s, post_time:0.884s, total_time:1.38s
> 011-00000003 PSNR=29.585, SSIM=0.8254 pre_time:0.0264s, forward_time:0.474s, post_time:0.879s, total_time:1.38s
> 011-00000004 PSNR=29.773, SSIM=0.8387 pre_time:0.0272s, forward_time:0.459s, post_time:0.872s, total_time:1.36s
> 011-00000005 PSNR=29.542, SSIM=0.8334 pre_time:0.0266s, forward_time:0.459s, post_time:0.864s, total_time:1.35s
> 011-00000006 PSNR=29.533, SSIM=0.8341 pre_time:0.0264s, forward_time:0.468s, post_time:0.892s, total_time:1.39s
> 011-00000007 PSNR=29.479, SSIM=0.838 pre_time:0.0268s, forward_time:0.566s, post_time:0.881s, total_time:1.47s
> 011-00000008 PSNR=29.488, SSIM=0.8427 pre_time:0.0266s, forward_time:0.463s, post_time:0.871s, total_time:1.36s
> 011-00000009 PSNR=29.567, SSIM=0.849 pre_time:0.0267s, forward_time:0.468s, post_time:0.869s, total_time:1.36s
> 011-00000010 PSNR=29.546, SSIM=0.8505 pre_time:0.0275s, forward_time:0.464s, post_time:0.868s, total_time:1.36s
> 011-00000011 PSNR=29.531, SSIM=0.8498 pre_time:0.0266s, forward_time:0.465s, post_time:0.868s, total_time:1.36s
> 011-00000012 PSNR=29.573, SSIM=0.849 pre_time:0.0266s, forward_time:0.474s, post_time:0.876s, total_time:1.38s
> 011-00000013 PSNR=29.588, SSIM=0.8475 pre_time:0.0269s, forward_time:0.457s, post_time:0.874s, total_time:1.36s
> 011-00000014 PSNR=29.579, SSIM=0.8451 pre_time:0.0264s, forward_time:0.467s, post_time:0.869s, total_time:1.36s
> 011-00000015 PSNR=29.627, SSIM=0.843 pre_time:0.027s, forward_time:0.46s, post_time:0.868s, total_time:1.35s
> 011-00000016 PSNR=29.631, SSIM=0.8421 pre_time:0.0265s, forward_time:0.462s, post_time:0.865s, total_time:1.35s
> 011-00000017 PSNR=29.634, SSIM=0.8437 pre_time:0.0267s, forward_time:0.466s, post_time:0.866s, total_time:1.36s
> 011-00000018 PSNR=29.635, SSIM=0.8458 pre_time:0.0265s, forward_time:0.465s, post_time:0.86s, total_time:1.35s
> 011-00000019 PSNR=29.604, SSIM=0.8446 pre_time:0.0268s, forward_time:0.468s, post_time:0.872s, total_time:1.37s
> 011-00000020 PSNR=29.588, SSIM=0.8444 pre_time:0.0265s, forward_time:0.468s, post_time:0.859s, total_time:1.35s
> 011-00000021 PSNR=29.617, SSIM=0.8464 pre_time:0.0266s, forward_time:0.468s, post_time:0.862s, total_time:1.36s
> 011-00000022 PSNR=29.643, SSIM=0.8501 pre_time:0.0267s, forward_time:0.456s, post_time:0.861s, total_time:1.34s
> 011-00000023 PSNR=29.601, SSIM=0.8515 pre_time:0.027s, forward_time:0.463s, post_time:0.886s, total_time:1.38s
> 011-00000024 PSNR=29.598, SSIM=0.8508 pre_time:0.0269s, forward_time:0.457s, post_time:0.868s, total_time:1.35s
> 011-00000025 PSNR=29.64, SSIM=0.8482 pre_time:0.0266s, forward_time:0.463s, post_time:0.864s, total_time:1.35s
> 011-00000026 PSNR=29.731, SSIM=0.8443 pre_time:0.0266s, forward_time:0.468s, post_time:0.863s, total_time:1.36s
> 011-00000027 PSNR=29.679, SSIM=0.8413 pre_time:0.0264s, forward_time:0.465s, post_time:0.943s, total_time:1.43s
> 011-00000028 PSNR=29.684, SSIM=0.8401 pre_time:0.0284s, forward_time:0.647s, post_time:0.908s, total_time:1.58s
> 011-00000029 PSNR=29.755, SSIM=0.8378 pre_time:0.0264s, forward_time:0.457s, post_time:0.869s, total_time:1.35s
> 011-00000030 PSNR=29.79, SSIM=0.8386 pre_time:0.0262s, forward_time:0.477s, post_time:0.866s, total_time:1.37s
> 011-00000031 PSNR=29.672, SSIM=0.8408 pre_time:0.0265s, forward_time:0.462s, post_time:0.89s, total_time:1.38s
> 011-00000032 PSNR=29.477, SSIM=0.8385 pre_time:0.0289s, forward_time:0.473s, post_time:0.907s, total_time:1.41s
> 011-00000033 PSNR=29.321, SSIM=0.8361 pre_time:0.0265s, forward_time:0.46s, post_time:0.859s, total_time:1.35s
> 011-00000034 PSNR=29.392, SSIM=0.8447 pre_time:0.0266s, forward_time:0.467s, post_time:0.956s, total_time:1.45s
> 011-00000035 PSNR=29.456, SSIM=0.8522 pre_time:0.0269s, forward_time:0.463s, post_time:0.927s, total_time:1.42s
> 011-00000036 PSNR=29.342, SSIM=0.8487 pre_time:0.0269s, forward_time:0.48s, post_time:0.908s, total_time:1.42s
> 011-00000037 PSNR=29.37, SSIM=0.8443 pre_time:0.0282s, forward_time:0.6s, post_time:0.877s, total_time:1.51s
> 011-00000038 PSNR=29.393, SSIM=0.8402 pre_time:0.0269s, forward_time:0.5s, post_time:0.925s, total_time:1.45s
> 011-00000039 PSNR=29.388, SSIM=0.8379 pre_time:0.0265s, forward_time:0.497s, post_time:0.882s, total_time:1.41s
> 011-00000040 PSNR=29.479, SSIM=0.8409 pre_time:0.0268s, forward_time:0.46s, post_time:0.883s, total_time:1.37s
> 011-00000041 PSNR=29.37, SSIM=0.8386 pre_time:0.0266s, forward_time:0.468s, post_time:0.916s, total_time:1.41s
> 011-00000042 PSNR=29.573, SSIM=0.843 pre_time:0.0267s, forward_time:0.49s, post_time:0.882s, total_time:1.4s
> 011-00000043 PSNR=29.492, SSIM=0.8393 pre_time:0.0273s, forward_time:0.493s, post_time:0.873s, total_time:1.39s
> 011-00000044 PSNR=29.421, SSIM=0.8385 pre_time:0.0266s, forward_time:0.458s, post_time:0.869s, total_time:1.35s
> 011-00000045 PSNR=29.39, SSIM=0.8329 pre_time:0.0267s, forward_time:0.469s, post_time:1.15s, total_time:1.64s
> 011-00000046 PSNR=29.631, SSIM=0.8349 pre_time:0.0313s, forward_time:0.503s, post_time:0.889s, total_time:1.42s
> 011-00000047 PSNR=29.636, SSIM=0.8363 pre_time:0.0276s, forward_time:0.513s, post_time:0.903s, total_time:1.44s
> 011-00000048 PSNR=29.715, SSIM=0.8418 pre_time:0.0262s, forward_time:0.463s, post_time:0.863s, total_time:1.35s
> 011-00000049 PSNR=29.741, SSIM=0.8457 pre_time:0.0266s, forward_time:0.726s, post_time:0.906s, total_time:1.66s
> 011-00000050 PSNR=29.826, SSIM=0.8526 pre_time:0.0265s, forward_time:0.456s, post_time:0.898s, total_time:1.38s
> 011-00000051 PSNR=29.79, SSIM=0.8541 pre_time:0.0269s, forward_time:0.529s, post_time:0.99s, total_time:1.55s
> 011-00000052 PSNR=29.587, SSIM=0.8534 pre_time:0.0283s, forward_time:0.655s, post_time:0.871s, total_time:1.55s
> 011-00000053 PSNR=29.628, SSIM=0.8502 pre_time:0.0267s, forward_time:0.457s, post_time:0.897s, total_time:1.38s
> 011-00000054 PSNR=29.72, SSIM=0.8493 pre_time:0.0264s, forward_time:0.552s, post_time:0.979s, total_time:1.56s
