Inference - NonGaussian_REDS4_L
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_NonGaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_NonGaussian/sharp
model_path: ../pretrain_models/kg_e3r20.pt
result_path: ../infer_results/infer_NonGaussian_REDS4_L
quick_test: NonGaussian_REDS4_L
large_model: True
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/kg_e3r20.pt
> 011-00000030 PSNR=31.06, SSIM=0.8739 pre_time:0.033s, forward_time:0.755s, post_time:1.24s, total_time:2.03s
> 011-00000031 PSNR=30.956, SSIM=0.8756 pre_time:0.0337s, forward_time:0.633s, post_time:1.39s, total_time:2.05s
> 011-00000032 PSNR=30.792, SSIM=0.8739 pre_time:0.0368s, forward_time:0.717s, post_time:1.45s, total_time:2.2s
> 011-00000033 PSNR=30.596, SSIM=0.8723 pre_time:0.0333s, forward_time:0.632s, post_time:1.29s, total_time:1.96s
> 011-00000034 PSNR=30.711, SSIM=0.8796 pre_time:0.0326s, forward_time:0.907s, post_time:1.2s, total_time:2.14s
> 011-00000035 PSNR=30.781, SSIM=0.8859 pre_time:0.032s, forward_time:0.607s, post_time:1.21s, total_time:1.85s
> 011-00000036 PSNR=30.61, SSIM=0.8832 pre_time:0.0319s, forward_time:0.583s, post_time:1.24s, total_time:1.85s
> 011-00000037 PSNR=30.573, SSIM=0.8787 pre_time:0.0347s, forward_time:0.631s, post_time:1.25s, total_time:1.91s
> 011-00000038 PSNR=30.649, SSIM=0.8756 pre_time:0.0352s, forward_time:0.96s, post_time:1.36s, total_time:2.36s
> 011-00000039 PSNR=30.567, SSIM=0.8727 pre_time:0.0345s, forward_time:0.611s, post_time:1.29s, total_time:1.93s
> 011-00000040 PSNR=30.663, SSIM=0.8746 pre_time:0.048s, forward_time:0.627s, post_time:1.47s, total_time:2.14s
> 011-00000041 PSNR=30.567, SSIM=0.8727 pre_time:0.0386s, forward_time:0.6s, post_time:1.25s, total_time:1.89s
> 011-00000042 PSNR=30.762, SSIM=0.8763 pre_time:0.0317s, forward_time:0.576s, post_time:1.22s, total_time:1.82s
> 011-00000043 PSNR=30.779, SSIM=0.8739 pre_time:0.033s, forward_time:0.609s, post_time:1.2s, total_time:1.84s
> 011-00000044 PSNR=30.698, SSIM=0.873 pre_time:0.0321s, forward_time:0.659s, post_time:1.24s, total_time:1.93s
